Country,Acquisition of nationality by country of former nationality(Total),Acquisition of nationality by country of former nationality(Women),Inflows of asylum seekers by nationality(Total),Inflows of asylum seekers by nationality(Women),Inflows of foreign population by nationality(Total),Inflows of foreign population by nationality(Women),Inflows of foreign workers by nationality(Total),Inflows of foreign workers by nationality(Women),Outflows of foreign population by nationality(Total),Outflows of foreign population by nationality(Women),Stock of foreign population by nationality(Total),Stock of foreign population by nationality(Women),Stock of foreign-born population by country of birth(Total),Stock of foreign-born population by country of birth(Women)
Australia,86654.0,43080.0,6206.0,,219400.0,114020.0,25208.0,10367.0,27646.0,13223.0,,,5729880.0,2877700.0
Austria,7978.0,4222.0,15821.0,,91660.0,43004.0,54032.0,,67219.0,28578.0,860004.0,423298.0,1260277.0,658619.0
Belgium,32767.0,17328.0,17186.0,,102714.0,53007.0,13062.0,4764.0,49126.0,,1013260.0,497216.0,1443937.0,745381.0
Canada,156363.0,82069.0,33970.0,,252170.0,130204.0,235280.0,89020.0,,,,,,
Chile,811.0,409.0,644.0,,35892.0,18263.0,35449.0,,,,,,317057.0,
Czech Republic,1621.0,,1355.0,,38199.0,16148.0,,,9350.0,1760.0,437565.0,173590.0,,
Denmark,6537.0,3349.0,3819.0,,31957.0,16314.0,6805.0,,26596.0,12409.0,320188.0,160851.0,401771.0,203685.0
Estonia,1670.0,,36.0,,2229.0,860.0,1296.0,,686.0,323.0,,,221888.0,131854.0
Finland,3413.0,1881.0,5910.0,,18087.0,8430.0,22500.0,,4037.0,1526.0,143256.0,68197.0,218626.0,108691.0
France,135852.0,,42118.0,,149603.0,107911.0,30855.0,9005.0,,,3773236.0,1844300.0,7202116.0,3695534.0
Germany,96122.0,48549.0,27649.0,,606314.0,244800.0,26245.0,8308.0,578808.0,,6727618.0,3286336.0,10583000.0,5358000.0
Greece,17019.0,8309.0,15928.0,,46534.0,,,,15732.0,,733598.0,349811.0,,
Hungary,5802.0,3267.0,4672.0,739.0,25582.0,10993.0,28215.0,,5600.0,1830.0,184358.0,88534.0,394234.0,206715.0
Iceland,728.0,414.0,35.0,,3392.0,1631.0,,,5761.0,1726.0,24379.0,10367.0,37562.0,17612.0
Ireland,4594.0,,2689.0,,50700.0,26800.0,7962.0,,52800.0,23200.0,575600.0,279300.0,,
Israel,,,5580.0,,14574.0,7702.0,26600.0,,,,,,1899000.0,1029000.0
Italy,59369.0,32141.0,17603.0,,406725.0,224716.0,235966.0,,32270.0,16392.0,3402435.0,1767151.0,5813773.0,3135820.0
Japan,14785.0,,1388.0,,297092.0,,53461.0,,261953.0,,2215901.0,1184865.0,,
Korea,26756.0,,324.0,,232844.0,111584.0,,,233471.0,95141.0,895464.0,392020.0,,
Latvia,3235.0,1588.0,,52.0,2688.0,,,,,,382704.0,203308.0,324871.0,
Luxembourg,4022.0,2088.0,477.0,,14635.0,6788.0,19997.0,13098.0,7271.0,3271.0,215509.0,106540.0,194533.0,
Mexico,3489.0,1742.0,680.0,,23852.0,,,,,,,,885651.0,439483.0
Netherlands,29754.0,16765.0,14905.0,,104410.0,50790.0,13688.0,,57491.0,26118.0,719494.0,362764.0,1793744.0,775526.0
New Zealand,18140.0,9320.0,336.0,,75657.0,36902.0,84874.0,38847.0,41162.0,19113.0,,,,
Norway,11442.0,6299.0,17226.0,,56682.0,25833.0,41469.0,12343.0,18361.0,7149.0,302977.0,142601.0,488753.0,239741.0
Poland,2503.0,1331.0,10587.0,,41277.0,,29340.0,,,,60431.0,32293.0,,
Portugal,24182.0,10505.0,139.0,,61445.0,31896.0,,,,,440277.0,209712.0,,
Slovak Republic,262.0,127.0,822.0,,5141.0,1749.0,9922.0,1925.0,547.0,99.0,52545.0,18489.0,,
Slovenia,1792.0,866.0,183.0,,27393.0,6077.0,59196.0,5884.0,15071.0,2239.0,70554.0,18553.0,243404.0,105612.0
Spain,79597.0,45486.0,3007.0,,365367.0,187019.0,27205.0,13882.0,344128.0,136397.0,5386659.0,2520014.0,6225513.0,2983419.0
Sweden,29318.0,16225.0,24194.0,,83763.0,40503.0,7490.0,2672.0,18357.0,7919.0,562124.0,273657.0,1281581.0,661497.0
Switzerland,43440.0,22962.0,16005.0,,132444.0,,64964.0,,55238.0,,1638949.0,766920.0,,
Turkey,8141.0,,7834.0,,,,,,,,104441.0,58860.0,,
United Kingdom,203789.0,108854.0,30675.0,,430000.0,198000.0,52689.0,,211000.0,87000.0,4348000.0,2204000.0,6899000.0,3568000.0
United States,743715.0,391807.0,38080.0,,1130818.0,617799.0,63968.0,16537.0,,,21685745.0,10176563.0,38016102.0,18949549.0
