Country,Acquisition of nationality by country of former nationality(Total),Acquisition of nationality by country of former nationality(Women),Inflows of asylum seekers by nationality(Total),Inflows of foreign population by nationality(Total),Inflows of foreign population by nationality(Women),Inflows of foreign workers by nationality(Total),Inflows of foreign workers by nationality(Women),Outflows of foreign population by nationality(Total),Outflows of foreign population by nationality(Women),Stock of foreign population by nationality(Total),Stock of foreign population by nationality(Women),Stock of foreign-born population by country of birth(Total),Stock of foreign-born population by country of birth(Women)
Australia,135596.0,68273.0,12360.0,223654.0,117440.0,24981.0,9798.0,33900.0,16000.0,,,6729730.0,3423870.0
Austria,8144.0,4432.0,85620.0,198658.0,81910.0,29740.0,11701.0,80141.0,33761.0,1146078.0,565689.0,1484595.0,769010.0
Belgium,27071.0,13472.0,38700.0,128762.0,56731.0,6256.0,,59845.0,26373.0,1276903.0,625685.0,1786080.0,914809.0
Canada,251144.0,130933.0,16070.0,271808.0,139287.0,248992.0,89473.0,,,,,,
Chile,686.0,349.0,630.0,101911.0,48668.0,,,,,,,465319.0,
Czech Republic,4925.0,,1250.0,31589.0,14231.0,,,15024.0,6282.0,449367.0,195345.0,,
Denmark,11745.0,6318.0,21230.0,58695.0,26360.0,,,30605.0,15250.0,422559.0,211605.0,501057.0,253359.0
Estonia,897.0,525.0,230.0,7370.0,2825.0,2068.0,299.0,3290.0,1288.0,211431.0,102395.0,194664.0,114640.0
Finland,7921.0,4122.0,32270.0,21414.0,9830.0,,,6677.0,3066.0,219675.0,103098.0,321977.0,158699.0
France,113608.0,58600.0,74300.0,242707.0,124883.0,35210.0,13093.0,,,4335449.0,2151004.0,7847499.0,4053012.0
Germany,107317.0,57100.0,441900.0,2016241.0,715480.0,,,859279.0,299460.0,8152968.0,3888457.0,10853000.0,5526000.0
Greece,12837.0,6413.0,11370.0,33986.0,,926.0,,,,706720.0,355868.0,,
Hungary,4048.0,1965.0,174430.0,25787.0,11054.0,7361.0,,10373.0,4245.0,145968.0,64205.0,476080.0,240038.0
Iceland,801.0,483.0,360.0,4963.0,2147.0,,,2247.0,1021.0,24294.0,11696.0,39221.0,20063.0
Ireland,13565.0,6602.0,3280.0,49300.0,25500.0,6076.0,,27500.0,13400.0,605554.0,298000.0,,
Israel,,,5010.0,27908.0,14483.0,42600.0,21300.0,,,,,1817000.0,991000.0
Italy,178035.0,88812.0,83240.0,250465.0,116439.0,17370.0,3913.0,44696.0,24736.0,5014437.0,2641641.0,5805328.0,3167530.0
Japan,9469.0,,7580.0,391160.0,,77972.0,,223542.0,,2121831.0,1141860.0,,
Korea,13934.0,,5710.0,372935.0,172823.0,134199.0,41277.0,301010.0,136262.0,1091531.0,463252.0,,
Latvia,1897.0,1035.0,330.0,4505.0,1609.0,2091.0,,2563.0,,298433.0,159433.0,265418.0,161407.0
Luxembourg,5306.0,2641.0,2300.0,22608.0,10271.0,,,10445.0,4653.0,258679.0,126042.0,248888.0,
Mexico,2736.0,1255.0,3420.0,34406.0,16248.0,8668.0,3034.0,,,325979.0,151671.0,1007063.0,499195.0
Netherlands,27877.0,15149.0,43100.0,159483.0,76512.0,6922.0,1733.0,85190.0,40329.0,847272.0,428238.0,1996319.0,1044006.0
New Zealand,28468.0,14597.0,350.0,102859.0,48846.0,115209.0,53669.0,39227.0,18590.0,,,,
Norway,12432.0,6653.0,30520.0,59068.0,27267.0,34313.0,9723.0,27384.0,12022.0,512154.0,232585.0,741812.0,354715.0
Poland,4048.0,2202.0,10250.0,86087.0,33494.0,65284.0,18153.0,,,108279.0,49429.0,,
Portugal,20396.0,10626.0,900.0,37851.0,18196.0,,,,,395195.0,203630.0,,
Slovak Republic,309.0,155.0,270.0,3774.0,1283.0,9328.0,2612.0,35.0,15.0,61766.0,23545.0,177624.0,88613.0
Slovenia,1255.0,566.0,260.0,12665.0,5062.0,21590.0,2866.0,1696.0,529.0,101532.0,34180.0,237616.0,103156.0
Spain,114351.0,59154.0,13370.0,290005.0,147110.0,6438.0,2113.0,249230.0,108104.0,4454353.0,2199420.0,5891208.0,3007208.0
Sweden,48249.0,25819.0,156460.0,113868.0,50939.0,12878.0,5739.0,31333.0,13557.0,739435.0,349436.0,1603551.0,816078.0
Switzerland,40888.0,21385.0,38120.0,150432.0,70079.0,74593.0,25825.0,73444.0,32623.0,1947023.0,913087.0,2354837.0,1203348.0
Turkey,,,133590.0,,,,,,,518279.0,273263.0,1592437.0,854527.0
United Kingdom,118109.0,59972.0,39970.0,481000.0,243000.0,,,164000.0,76000.0,5592000.0,2912000.0,8482000.0,4436000.0
United States,730259.0,408064.0,172740.0,1051031.0,569536.0,68432.0,19502.0,,,22263361.0,10857325.0,42390705.0,21733884.0
